Company,TypeName,Inches,ScreenResolution,Ram,OpSys,Weight,Touchscreen,IPS_panel,Cpu_brand,HDD,SSD,Gpu_brand,PRICE
Acer,Netbook,11.6,1366x768,4,Others/No OS/Linux,1.25,0,1,Other Intel Processor,0,0,Intel,15824.16
MSI,Gaming,15.6,1920x1080,8,Windows,2.2,0,1,Intel Core i7,1000,0,Nvidia,44701.92
Asus,Gaming,17.3,1920x1080,16,Windows,4.3,0,1,Intel Core i7,1000,256,Nvidia,125208.0
Lenovo,Notebook,15.6,1366x768,4,Windows,2.2,0,0,Other Intel Processor,500,0,Intel,22324.32
Asus,Gaming,17.3,1920x1080,12,Windows,2.2,0,0,Intel Core i5,1000,128,Nvidia,72988.272
HP,Ultrabook,14.0,2560x1440,8,Windows,1.54,0,0,Intel Core i7,0,256,Intel,117119.5632
Lenovo,Notebook,15.6,1920x1080,8,Windows,2.3,0,1,Intel Core i5,0,256,Nvidia,53918.82719999999
HP,Notebook,14.0,1366x768,8,Windows,2.31,0,0,Intel Core i5,0,256,Intel,59886.72
Lenovo,2 in 1 Convertible,13.9,1920x1080,8,Windows,1.38,1,1,Intel Core i7,0,256,Intel,71874.72
Lenovo,Notebook,17.3,1600x900,8,Others/No OS/Linux,2.8,0,0,Intel Core i5,1000,0,Intel,28717.92
Dell,Gaming,15.6,1920x1080,16,Windows,2.62,0,0,Intel Core i7,1000,256,Nvidia,78801.12
Dell,2 in 1 Convertible,13.3,3200x1800,16,Windows,1.22,1,0,Intel Core i7,0,512,Intel,101178.72
Asus,Notebook,15.6,1366x768,4,Windows,2.2,0,0,Other Intel Processor,500,0,Intel,19660.32
Lenovo,2 in 1 Convertible,14.0,2560x1440,16,Windows,1.36,1,0,Intel Core i7,0,512,Intel,133146.72
Dell,Notebook,15.6,1920x1080,16,Windows,2.2,0,0,Intel Core i7,2000,256,AMD,64961.10719999999
Lenovo,Notebook,17.3,1600x900,6,Windows,2.8,0,0,Intel Core i5,1000,128,Nvidia,38308.32
Asus,Notebook,15.6,1920x1080,4,Windows,2.2,0,0,AMD Processor,1000,128,AMD,30636.0
Dell,2 in 1 Convertible,13.3,1920x1080,8,Windows,1.6,1,1,Intel Core i5,0,256,Intel,63882.72
Asus,Notebook,15.6,1920x1080,8,Windows,2.3,0,0,Intel Core i5,128,0,Intel,31435.2
HP,Notebook,15.6,1920x1080,8,Others/No OS/Linux,1.86,0,0,Intel Core i5,0,256,Intel,30636.0
Apple,Ultrabook,15.4,2880x1800,16,Mac,2.04,0,1,Intel Core i7,0,0,Intel,114017.6016
Asus,2 in 1 Convertible,15.6,1920x1080,12,Windows,2.26,1,0,Intel Core i7,2000,512,Nvidia,58554.72
Dell,Ultrabook,13.3,3840x2160,16,Windows,1.21,1,1,Intel Core i7,0,1000,Intel,133146.72
Toshiba,Ultrabook,13.3,1920x1080,16,Windows,1.05,0,0,Intel Core i7,0,512,Intel,118601.28
Lenovo,Notebook,15.6,1920x1080,4,Windows,2.4,0,0,Intel Core i5,1000,0,Nvidia,32447.52
HP,Notebook,13.3,1920x1080,4,Windows,1.49,0,0,Intel Core i3,0,128,Intel,38308.32
Asus,Notebook,14.0,1920x1080,4,Windows,1.5,0,0,Other Intel Processor,0,0,Intel,15877.44
HP,Ultrabook,14.0,1920x1080,8,Windows,1.54,0,0,Intel Core i7,0,256,Intel,100550.5488
Dell,Ultrabook,13.3,1920x1080,8,Windows,1.4,0,1,Intel Core i7,0,256,AMD,49650.5664
